"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
 Total population by sex and age groups - 100% data ,"14,515","27,990","21,310","28,405","29,085","33,045","44,560","14,035","25,785","39,620","22,415","24,535","11,795","44,950","21,990","9,020","6,995","11,575","33,425","27,150","42,120","12,680","545,675","1,986,965"
Male,"6,540","16,430","10,410","12,435","14,400","16,225","21,975","6,480","12,160","18,735","10,630","12,260","5,460","22,055","10,470","4,300","3,310","6,525","16,505","13,025","21,995","6,020","267,700","972,730"
  0 - 4,220,360,485,440,740,930,"1,325",245,585,680,410,635,155,"1,280",605,155,165,165,"1,180",615,395,255,"11,990","53,850"
  5 - 9,270,215,620,270,700,"1,010","1,460",325,785,500,450,535,225,"1,445",530,185,170,205,"1,160",765,240,270,"12,320","60,800"
  10 - 14,465,165,850,220,575,960,"1,345",465,855,550,620,390,355,"1,340",535,305,175,190,"1,055",890,190,405,"12,835","62,805"
  15 - 19,590,305,990,345,575,945,"1,320",565,"1,000",630,760,395,530,"1,460",640,420,185,220,"1,065","1,055",365,430,"14,735","67,600"
  20 - 24,570,"1,080",780,750,930,"1,080","1,600",525,940,"1,330",855,895,495,"1,790",820,380,280,255,"1,305","1,025","1,750",515,"19,885","67,470"
  25 - 29,380,"2,275",595,"1,745","1,440","1,240","1,755",395,790,"2,765",875,"1,420",320,"1,725",940,255,360,335,"1,285",780,"3,255",445,"25,330","67,690"
  30 - 34,325,"2,500",545,"2,010","1,645","1,370","1,965",360,810,"3,080",940,"1,670",235,"1,860",995,215,350,505,"1,470",855,"3,305",400,"27,360","77,565"
  35 - 39,345,"2,090",640,"1,520","1,670","1,605","2,195",395,970,"2,220","1,000","1,650",290,"2,100",995,205,275,610,"1,435",980,"3,015",415,"26,565","85,780"
