"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
Total population by age groups," 15,910 "," 54,690 "," 21,745 "," 31,445 "," 27,305 "," 33,990 "," 47,470 "," 14,735 "," 28,450 "," 41,375 "," 23,835 "," 26,400 "," 12,440 "," 50,505 "," 21,795 "," 8,805 "," 7,675 "," 12,165 "," 36,285 "," 30,710 "," 44,540 "," 12,795 "," 603,500 "," 2,313,325 "
   0 to 4 years , 570 ," 1,840 ", 930 ," 1,080 "," 1,190 "," 1,625 "," 2,440 ", 510 ," 1,325 "," 1,720 ", 900 ," 1,180 ", 350 ," 2,335 "," 1,195 ", 335 , 390 , 365 ," 1,960 "," 1,155 ", 960 , 505 ," 24,770 "," 115,185 "
   5 to 9 years , 705 , 875 ," 1,355 ", 615 , 905 ," 1,675 "," 2,215 ", 715 ," 1,365 "," 1,155 ", 940 , 695 , 495 ," 2,160 "," 1,105 ", 430 , 370 , 305 ," 1,980 "," 1,270 ", 465 , 685 ," 22,400 "," 114,390 "
   10 to 14 years ," 1,040 ", 670 ," 1,545 ", 525 , 830 ," 1,725 "," 2,365 ", 835 ," 1,545 "," 1,060 "," 1,115 ", 630 , 640 ," 2,490 ", 990 , 550 , 345 , 340 ," 2,310 "," 1,650 ", 325 , 745 ," 24,170 "," 124,880 "
   15 to 19 years ," 1,365 "," 1,210 "," 1,665 ", 615 , 935 ," 1,875 "," 2,665 "," 1,200 "," 1,870 "," 1,290 "," 1,525 ", 620 , 930 ," 3,165 ", 980 , 580 , 355 , 390 ," 2,330 "," 2,085 ", 760 , 800 ," 29,100 "," 145,190 "
     15 years , 255 , 165 , 305 , 95 , 200 , 390 , 560 , 235 , 400 , 210 , 285 , 130 , 155 , 590 , 210 , 110 , 75 , 70 , 455 , 405 , 85 , 140 ," 5,500 "," 28,170 "
     16 years , 300 , 155 , 335 , 110 , 185 , 370 , 560 , 215 , 375 , 240 , 300 , 115 , 160 , 605 , 180 , 125 , 70 , 75 , 495 , 430 , 80 , 155 ," 5,625 "," 28,785 "
     17 years , 310 , 175 , 345 , 100 , 175 , 415 , 520 , 250 , 365 , 235 , 280 , 105 , 175 , 600 , 210 , 130 , 80 , 65 , 480 , 415 , 110 , 195 ," 5,715 "," 28,975 "
     18 years , 255 , 285 , 360 , 140 , 170 , 360 , 515 , 245 , 380 , 295 , 335 , 120 , 225 , 635 , 190 , 110 , 70 , 85 , 470 , 430 , 170 , 165 ," 5,985 "," 29,365 "
     19 years , 245 , 435 , 320 , 170 , 200 , 340 , 515 , 250 , 350 , 315 , 320 , 145 , 215 , 740 , 185 , 105 , 60 , 90 , 430 , 405 , 315 , 155 ," 6,275 "," 29,895 "
   20 to 24 years ," 1,030 "," 4,630 "," 1,585 "," 1,770 "," 1,735 "," 2,345 "," 3,375 "," 1,165 "," 1,885 "," 3,205 "," 1,845 "," 1,765 ", 975 ," 4,185 "," 1,335 ", 620 , 505 , 505 ," 2,655 "," 2,385 "," 3,905 "," 1,000 "," 44,280 "," 159,085 "
   25 to 29 years , 705 ," 8,970 "," 1,040 "," 4,120 "," 3,065 "," 2,395 "," 3,950 ", 760 ," 1,785 "," 5,645 "," 1,805 "," 3,815 ", 765 ," 4,245 "," 1,830 ", 555 , 675 , 805 ," 2,650 "," 2,035 "," 7,110 ", 840 ," 59,465 "," 170,065 "
   30 to 34 years , 560 ," 7,885 ", 760 ," 4,005 "," 2,945 "," 2,215 "," 3,715 ", 610 ," 1,690 "," 4,795 "," 1,555 "," 3,850 ", 590 ," 3,635 "," 1,870 ", 400 , 665 , 845 ," 2,570 "," 1,765 "," 5,910 ", 565 ," 53,335 "," 160,010 "
   35 to 39 years , 825 ," 5,610 "," 1,025 "," 2,980 "," 2,630 "," 2,425 "," 3,765 ", 720 ," 1,915 "," 3,760 "," 1,580 "," 3,080 ", 565 ," 3,530 "," 1,765 ", 350 , 635 , 815 ," 2,640 "," 1,715 "," 4,295 ", 660 ," 47,230 "," 161,245 "
   40 to 44 years ," 1,420 "," 4,520 "," 1,795 "," 2,665 "," 2,470 "," 2,725 "," 3,870 "," 1,185 "," 2,135 "," 3,585 "," 2,030 "," 2,355 ", 845 ," 3,695 "," 1,870 ", 665 , 640 , 845 ," 2,770 "," 2,045 "," 3,640 ", 975 ," 48,645 "," 180,535 "
   45 to 49 years ," 1,470 "," 4,055 "," 1,970 "," 2,275 "," 2,190 "," 2,875 "," 3,975 "," 1,300 "," 2,490 "," 3,095 "," 2,285 "," 2,035 "," 1,100 "," 4,235 "," 1,850 ", 675 , 580 ," 1,115 "," 2,805 "," 2,480 "," 3,410 "," 1,060 "," 49,195 "," 192,085 "
   50 to 54 years ," 1,120 "," 3,590 "," 1,720 "," 2,105 "," 2,090 "," 2,645 "," 3,505 "," 1,220 "," 2,285 "," 2,635 "," 2,030 "," 1,690 ", 955 ," 3,785 "," 1,590 ", 655 , 505 ," 1,135 "," 2,565 "," 2,530 "," 2,985 ", 920 ," 44,105 "," 182,435 "
   55 to 59 years ," 1,050 "," 3,295 "," 1,645 "," 1,995 "," 1,820 "," 2,200 "," 3,095 "," 1,050 "," 2,070 "," 2,470 "," 1,680 "," 1,445 ", 875 ," 3,260 "," 1,410 ", 660 , 425 ," 1,010 "," 2,145 "," 2,275 "," 2,745 ", 975 ," 39,505 "," 158,565 "
   60 to 64 years , 945 ," 2,825 "," 1,520 "," 1,995 "," 1,505 "," 1,915 "," 2,445 "," 1,045 "," 1,830 "," 2,480 "," 1,405 "," 1,220 ", 850 ," 2,810 "," 1,260 ", 675 , 415 , 930 ," 1,920 "," 2,020 "," 2,465 ", 990 ," 35,365 "," 136,760 "
   65 to 69 years , 660 ," 1,780 "," 1,015 "," 1,405 ", 890 ," 1,215 "," 1,535 ", 765 ," 1,115 "," 1,555 ", 880 , 640 , 540 ," 1,740 ", 730 , 435 , 255 , 645 ," 1,335 "," 1,195 "," 1,900 ", 690 ," 22,845 "," 94,860 "
   70 to 74 years , 575 ," 1,165 ", 760 , 955 , 665 ," 1,290 "," 1,485 ", 560 ," 1,005 ", 965 , 715 , 505 , 460 ," 1,750 ", 635 , 315 , 225 , 600 ," 1,235 "," 1,215 "," 1,295 ", 475 ," 18,800 "," 72,890 "
   75 to 79 years , 545 , 765 , 565 , 785 , 600 ," 1,270 "," 1,305 ", 435 , 900 , 705 , 545 , 350 , 505 ," 1,585 ", 610 , 290 , 200 , 580 ," 1,085 "," 1,060 ", 895 , 335 ," 15,865 "," 58,155 "
   80 to 84 years , 535 , 565 , 405 , 665 , 490 , 885 , 965 , 315 , 635 , 625 , 480 , 255 , 460 ," 1,085 ", 430 , 250 , 200 , 430 , 750 , 860 , 760 , 305 ," 12,310 "," 44,235 "
  85 years and over, 785 ,450,425,880,350,685,785,335,610,640,525,275,535, 820 , 340 , 365 , 300 , 495 , 575 , 965 , 720 , 270 ," 12,110 "," 42,760 "
Median age of the total population  , 44 ,36,42.7,40,38.9,41.3,39,43.6,42,37.3,41.6,35.9,45.3, 39 , 40 , 44 , 39 , 49 , 38 , 43 , 38 , 43 , 40 , 40 
 % of the total population aged 15 and over   , 85 , 94 , 82 , 93 , 89 , 85 , 85 , 86 , 85 , 91 , 88 , 91 , 88 , 86 , 85 , 85 , 86 , 92 , 83 , 87 , 96 , 85 , 88 , 85 
"   Males, total "," 7,185 "," 29,645 "," 10,505 "," 13,915 "," 13,310 "," 16,665 "," 23,215 "," 6,890 "," 13,370 "," 19,305 "," 11,560 "," 12,915 "," 5,725 "," 24,645 "," 10,415 "," 4,150 "," 3,635 "," 6,865 "," 17,830 "," 14,705 "," 23,320 "," 6,090 "," 295,095 "," 1,130,375 "
     0 to 4 years , 280 , 930 , 480 , 550 , 600 , 805 ," 1,275 ", 255 , 685 , 870 , 510 , 590 , 180 ," 1,220 ", 605 , 180 , 210 , 190 ," 1,000 ", 615 , 490 , 275 ," 12,725 "," 59,275 "
     5 to 9 years , 370 , 450 , 680 , 315 , 495 , 865 ," 1,140 ", 370 , 705 , 570 , 495 , 370 , 260 ," 1,120 ", 580 , 215 , 185 , 160 ," 1,060 ", 680 , 240 , 330 ," 11,630 "," 58,730 "
     10 to 14 years , 545 , 350 , 800 , 245 , 440 , 885 ," 1,200 ", 425 , 755 , 545 , 575 , 325 , 305 ," 1,265 ", 510 , 290 , 180 , 175 ," 1,230 ", 900 , 160 , 375 ," 12,435 "," 64,365 "
     15 to 19 years , 695 , 580 , 850 , 310 , 480 , 990 ," 1,435 ", 610 , 985 , 640 , 765 , 305 , 495 ," 1,635 ", 480 , 285 , 170 , 205 ," 1,205 "," 1,105 ", 370 , 395 ," 14,945 "," 75,070 "
       15 years , 130 , 70 , 160 , 55 , 100 , 195 , 295 , 115 , 195 , 105 , 140 , 65 , 80 , 315 , 100 , 50 , 35 , 35 , 240 , 210 , 45 , 65 ," 2,770 "," 14,570 "
       16 years , 155 , 80 , 185 , 55 , 90 , 200 , 310 , 125 , 195 , 125 , 145 , 65 , 90 , 315 , 95 , 65 , 35 , 50 , 260 , 230 , 40 , 80 ," 2,985 "," 15,090 "
       17 years , 160 , 80 , 175 , 55 , 90 , 230 , 295 , 130 , 185 , 130 , 140 , 50 , 100 , 295 , 105 , 75 , 45 , 40 , 230 , 215 , 50 , 90 ," 2,955 "," 14,985 "
       18 years , 125 , 140 , 170 , 70 , 100 , 190 , 265 , 120 , 200 , 130 , 180 , 65 , 105 , 345 , 85 , 50 , 35 , 40 , 245 , 240 , 75 , 75 ," 3,025 "," 15,065 "
       19 years , 125 , 205 , 160 , 80 , 95 , 175 , 275 , 125 , 210 , 145 , 155 , 65 , 120 , 370 , 95 , 55 , 25 , 45 , 230 , 210 , 155 , 85 ," 3,215 "," 15,365 "
     20 to 24 years , 515 ," 2,230 ", 825 , 785 , 770 ," 1,215 "," 1,700 ", 605 , 975 ," 1,350 ", 930 , 785 , 465 ," 2,180 ", 665 , 320 , 260 , 260 ," 1,400 "," 1,225 "," 1,815 ", 505 ," 21,715 "," 80,620 "
     25 to 29 years , 350 ," 4,515 ", 525 ," 1,785 "," 1,425 "," 1,165 "," 1,950 ", 380 , 905 ," 2,575 ", 915 ," 1,750 ", 375 ," 2,240 ", 855 , 250 , 300 , 390 ," 1,335 "," 1,005 "," 3,465 ", 410 ," 28,815 "," 83,960 "
     30 to 34 years , 240 ," 4,305 ", 345 ," 1,860 "," 1,395 "," 1,070 "," 1,820 ", 290 , 785 ," 2,315 ", 790 ," 1,880 ", 280 ," 1,765 ", 890 , 175 , 320 , 425 ," 1,250 ", 845 ," 3,060 ", 270 ," 26,360 "," 77,905 "
     35 to 39 years , 335 ," 3,155 ", 420 ," 1,425 "," 1,310 "," 1,180 "," 1,750 ", 275 , 855 ," 1,805 ", 725 ," 1,595 ", 235 ," 1,660 ", 840 , 145 , 295 , 470 ," 1,220 ", 740 ," 2,350 ", 280 ," 23,055 "," 76,660 "
     40 to 44 years , 560 ," 2,635 ", 790 ," 1,245 "," 1,200 "," 1,345 "," 1,855 ", 495 , 975 ," 1,755 ", 935 ," 1,235 ", 340 ," 1,755 ", 910 , 295 , 300 , 510 ," 1,310 ", 960 ," 2,175 ", 425 ," 23,950 "," 86,310 "
     45 to 49 years , 695 ," 2,400 ", 960 ," 1,030 "," 1,130 "," 1,430 "," 1,950 ", 590 ," 1,135 "," 1,505 "," 1,130 "," 1,025 ", 485 ," 2,020 ", 880 , 290 , 280 , 695 ," 1,395 "," 1,145 "," 2,095 ", 520 ," 24,735 "," 93,760 "
     50 to 54 years , 490 ," 2,050 ", 800 , 925 ," 1,020 "," 1,285 "," 1,670 ", 545 ," 1,030 "," 1,190 ", 920 , 835 , 425 ," 1,800 ", 745 , 305 , 235 , 725 ," 1,260 "," 1,165 "," 1,665 ", 415 ," 21,440 "," 88,700 "
     55 to 59 years , 485 ," 1,910 ", 805 , 810 , 900 ," 1,060 "," 1,520 ", 505 , 900 ," 1,115 ", 865 , 740 , 410 ," 1,540 ", 635 , 300 , 200 , 640 , 995 ," 1,100 "," 1,470 ", 455 ," 19,315 "," 77,595 "
     60 to 64 years , 445 ," 1,580 ", 745 , 825 , 775 , 950 ," 1,190 ", 500 , 835 ," 1,145 ", 655 , 585 , 375 ," 1,345 ", 600 , 320 , 190 , 640 , 910 , 980 ," 1,360 ", 480 ," 17,370 "," 66,615 "
     65 to 69 years , 305 ," 1,030 ", 505 , 595 , 440 , 555 , 720 , 365 , 500 , 715 , 395 , 325 , 280 , 790 , 345 , 235 , 130 , 415 , 605 , 570 , 985 , 330 ," 11,110 "," 46,120 "
     70 to 74 years , 240 , 650 , 365 , 395 , 290 , 585 , 680 , 255 , 460 , 445 , 325 , 230 , 210 , 750 , 270 , 160 , 100 , 315 , 575 , 520 , 680 , 235 ," 8,725 "," 34,215 "
    75 to 79 years, 215 ,425,275,325,280,615,635,195,410,310,265,165,220, 745 , 290 , 140 , 85 , 300 , 510 , 505 , 395 , 150 ," 7,425 "," 26,990 "
    80 to 84 years, 200 ,285,185,255,250,400,440,125,270,260,210,95,185, 505 , 200 , 105 , 85 , 205 , 345 , 375 , 305 , 130 ," 5,410 "," 19,045 "
     85 years and over , 210 , 160 , 145 , 225 , 120 , 255 , 280 , 115 , 195 , 190 , 145 , 85 , 200 , 310 , 125 , 130 , 105 , 140 , 220 , 275 , 240 , 100 ," 3,955 "," 14,440 "
   Median age of the male population  , 43 , 37 , 42 , 39 , 39 , 41 , 38 , 43 , 40 , 37 , 40 , 36 , 44 , 38 , 39 , 44 , 38 , 50 , 37 , 41 , 39 , 42 , 39 , 39 
   % of the male population aged 15 and over  , 83 , 94 , 81 , 92 , 89 , 85 , 84 , 85 , 84 , 90 , 86 , 90 , 87 , 85 , 84 , 84 , 84 , 92 , 82 , 85 , 96 , 84 , 88 , 84 
"   Females, total "," 8,720 "," 25,045 "," 11,240 "," 17,525 "," 13,995 "," 17,330 "," 24,255 "," 7,845 "," 15,085 "," 22,070 "," 12,275 "," 13,485 "," 6,715 "," 25,860 "," 11,380 "," 4,660 "," 4,045 "," 5,305 "," 18,455 "," 16,005 "," 21,215 "," 6,700 "," 308,400 "," 1,182,955 "
