,YEAR,Theft from Vehicle,Other Theft,Mischief,Theft of Vehicle,BNE Residential/Other,BNE Commercial
148134,2006,1,0,0,0,0,0
148135,2006,1,0,0,0,0,0
148136,2006,1,0,0,0,0,0
148137,2006,1,0,0,0,0,0
148138,2006,1,0,0,0,0,0
148139,2006,1,0,0,0,0,0
148140,2006,1,0,0,0,0,0
148141,2006,1,0,0,0,0,0
148142,2006,1,0,0,0,0,0
148143,2006,1,0,0,0,0,0
148144,2006,1,0,0,0,0,0
148145,2006,1,0,0,0,0,0
148146,2006,1,0,0,0,0,0
148147,2006,1,0,0,0,0,0
148148,2006,1,0,0,0,0,0
148149,2006,1,0,0,0,0,0
148150,2006,1,0,0,0,0,0
148151,2006,1,0,0,0,0,0
148152,2006,1,0,0,0,0,0
148153,2006,1,0,0,0,0,0
148154,2006,1,0,0,0,0,0
148155,2006,1,0,0,0,0,0
148156,2006,1,0,0,0,0,0
148157,2006,1,0,0,0,0,0
148158,2006,1,0,0,0,0,0
148159,2006,1,0,0,0,0,0
148160,2006,0,1,0,0,0,0
148161,2006,0,1,0,0,0,0
148162,2006,0,1,0,0,0,0
148163,2006,0,1,0,0,0,0
148164,2006,0,0,1,0,0,0
148165,2006,0,0,1,0,0,0
148166,2006,1,0,0,0,0,0
148167,2006,1,0,0,0,0,0
148168,2006,1,0,0,0,0,0
148169,2006,0,0,1,0,0,0
148170,2006,0,0,1,0,0,0
148171,2006,0,0,1,0,0,0
148172,2006,0,1,0,0,0,0
148173,2006,0,1,0,0,0,0
148174,2006,0,0,0,1,0,0
148175,2006,0,1,0,0,0,0
148176,2006,0,1,0,0,0,0
148177,2006,0,0,0,1,0,0
148178,2006,0,0,0,1,0,0
148179,2006,0,0,1,0,0,0
148180,2006,0,0,0,1,0,0
148181,2006,0,0,1,0,0,0
148182,2006,0,1,0,0,0,0
148183,2006,0,1,0,0,0,0
148184,2006,0,1,0,0,0,0
148185,2006,0,0,0,1,0,0
148186,2006,0,0,0,1,0,0
148187,2006,0,0,1,0,0,0
148188,2006,0,1,0,0,0,0
148189,2006,0,1,0,0,0,0
148190,2006,0,1,0,0,0,0
148191,2006,0,0,1,0,0,0
148192,2006,0,0,1,0,0,0
148193,2006,0,1,0,0,0,0
148194,2006,0,1,0,0,0,0
148195,2006,0,1,0,0,0,0
148196,2006,0,0,0,1,0,0
148197,2006,0,0,1,0,0,0
148198,2006,0,1,0,0,0,0
148199,2006,0,1,0,0,0,0
148200,2006,0,1,0,0,0,0
148201,2006,0,1,0,0,0,0
148202,2006,0,0,1,0,0,0
148203,2006,0,0,1,0,0,0
148204,2006,0,0,0,1,0,0
148205,2006,0,1,0,0,0,0
148206,2006,0,1,0,0,0,0
148207,2006,0,1,0,0,0,0
148208,2006,0,1,0,0,0,0
148209,2006,0,1,0,0,0,0
148210,2006,0,0,0,1,0,0
148211,2006,0,1,0,0,0,0
148212,2006,0,1,0,0,0,0
148213,2006,0,1,0,0,0,0
148214,2006,0,1,0,0,0,0
148215,2006,0,1,0,0,0,0
148216,2006,0,1,0,0,0,0
148217,2006,0,1,0,0,0,0
148218,2006,1,0,0,0,0,0
148219,2006,0,1,0,0,0,0
148220,2006,0,1,0,0,0,0
148221,2006,1,0,0,0,0,0
148222,2006,1,0,0,0,0,0
148223,2006,1,0,0,0,0,0
148224,2006,1,0,0,0,0,0
148225,2006,1,0,0,0,0,0
148226,2006,0,0,0,1,0,0
148227,2006,1,0,0,0,0,0
148228,2006,1,0,0,0,0,0
148229,2006,1,0,0,0,0,0
148230,2006,1,0,0,0,0,0
148231,2006,1,0,0,0,0,0
148232,2006,0,0,1,0,0,0
148233,2006,0,0,1,0,0,0
148234,2006,0,0,1,0,0,0
148235,2006,0,0,1,0,0,0
148236,2006,0,0,1,0,0,0
148237,2006,0,0,1,0,0,0
148238,2006,0,0,1,0,0,0
148239,2006,0,0,1,0,0,0
148240,2006,0,1,0,0,0,0
148241,2006,0,1,0,0,0,0
148242,2006,1,0,0,0,0,0
148243,2006,0,1,0,0,0,0
148244,2006,0,0,0,1,0,0
148245,2006,0,1,0,0,0,0
148246,2006,0,1,0,0,0,0
148247,2006,0,1,0,0,0,0
