,YEAR,BNE Residential/Other,Theft from Vehicle,Other Theft,Mischief,Theft of Vehicle,BNE Commercial
313877,2010,1,0,0,0,0,0
313878,2010,0,1,0,0,0,0
313879,2010,0,0,1,0,0,0
313880,2010,0,0,0,1,0,0
313881,2010,0,1,0,0,0,0
313882,2010,0,0,0,1,0,0
313883,2010,0,0,0,1,0,0
313884,2010,1,0,0,0,0,0
313885,2010,0,0,0,0,1,0
313886,2010,0,1,0,0,0,0
313887,2010,0,1,0,0,0,0
313888,2010,0,1,0,0,0,0
313889,2010,1,0,0,0,0,0
313890,2010,0,0,0,1,0,0
313891,2010,0,1,0,0,0,0
313892,2010,0,1,0,0,0,0
313893,2010,0,0,0,0,1,0
313894,2010,0,1,0,0,0,0
313895,2010,0,0,1,0,0,0
313896,2010,0,0,1,0,0,0
313897,2010,0,0,1,0,0,0
313898,2010,0,1,0,0,0,0
313899,2010,0,0,1,0,0,0
313900,2010,0,0,0,0,1,0
313901,2010,0,1,0,0,0,0
313902,2010,0,1,0,0,0,0
313903,2010,0,0,1,0,0,0
313904,2010,1,0,0,0,0,0
313905,2010,0,0,0,0,1,0
313906,2010,0,1,0,0,0,0
313907,2010,0,1,0,0,0,0
313908,2010,0,1,0,0,0,0
313909,2010,0,1,0,0,0,0
313910,2010,0,1,0,0,0,0
313911,2010,0,0,0,0,1,0
313912,2010,0,1,0,0,0,0
313913,2010,0,0,0,0,1,0
313914,2010,0,1,0,0,0,0
313915,2010,0,1,0,0,0,0
313916,2010,0,1,0,0,0,0
313917,2010,0,1,0,0,0,0
313918,2010,0,1,0,0,0,0
313919,2010,0,1,0,0,0,0
313920,2010,0,0,0,0,1,0
313921,2010,0,1,0,0,0,0
313922,2010,0,1,0,0,0,0
313923,2010,0,1,0,0,0,0
313924,2010,0,1,0,0,0,0
313925,2010,0,1,0,0,0,0
313926,2010,0,0,1,0,0,0
313927,2010,0,0,0,0,1,0
313928,2010,0,0,1,0,0,0
313929,2010,0,1,0,0,0,0
313930,2010,0,0,1,0,0,0
313931,2010,0,0,1,0,0,0
313932,2010,0,1,0,0,0,0
313933,2010,0,1,0,0,0,0
313934,2010,0,1,0,0,0,0
313935,2010,0,1,0,0,0,0
313936,2010,0,1,0,0,0,0
313937,2010,0,0,0,0,1,0
313938,2010,0,0,0,1,0,0
313939,2010,0,1,0,0,0,0
313940,2010,0,0,0,0,1,0
313941,2010,0,1,0,0,0,0
313942,2010,0,1,0,0,0,0
313943,2010,1,0,0,0,0,0
313944,2010,0,0,1,0,0,0
313945,2010,0,0,0,1,0,0
313946,2010,0,1,0,0,0,0
313947,2010,0,0,0,1,0,0
313948,2010,0,1,0,0,0,0
313949,2010,0,1,0,0,0,0
313950,2010,0,0,0,0,1,0
313951,2010,0,1,0,0,0,0
313952,2010,0,0,1,0,0,0
313953,2010,1,0,0,0,0,0
313954,2010,0,0,1,0,0,0
313955,2010,1,0,0,0,0,0
313956,2010,0,0,1,0,0,0
313957,2010,0,0,1,0,0,0
313958,2010,0,1,0,0,0,0
313959,2010,0,1,0,0,0,0
313960,2010,0,1,0,0,0,0
313961,2010,0,1,0,0,0,0
313962,2010,0,1,0,0,0,0
313963,2010,0,1,0,0,0,0
313964,2010,0,1,0,0,0,0
313965,2010,0,1,0,0,0,0
313966,2010,0,0,1,0,0,0
313967,2010,0,1,0,0,0,0
313968,2010,0,1,0,0,0,0
313969,2010,0,0,0,1,0,0
313970,2010,0,0,0,1,0,0
313971,2010,1,0,0,0,0,0
313972,2010,1,0,0,0,0,0
313973,2010,0,0,1,0,0,0
313974,2010,0,0,1,0,0,0
313975,2010,0,1,0,0,0,0
313976,2010,0,1,0,0,0,0
313977,2010,1,0,0,0,0,0
313978,2010,1,0,0,0,0,0
313979,2010,0,1,0,0,0,0
313980,2010,0,0,0,1,0,0
313981,2010,0,0,1,0,0,0
313982,2010,1,0,0,0,0,0
313983,2010,0,1,0,0,0,0
313984,2010,0,0,1,0,0,0
313985,2010,0,0,0,1,0,0
313986,2010,0,0,0,0,1,0
313987,2010,0,0,1,0,0,0
313988,2010,0,0,1,0,0,0
313989,2010,0,0,0,0,1,0
313990,2010,0,1,0,0,0,0
313991,2010,0,1,0,0,0,0
313992,2010,0,1,0,0,0,0
313993,2010,0,0,1,0,0,0
313994,2010,1,0,0,0,0,0
313995,2010,1,0,0,0,0,0
313996,2010,0,0,1,0,0,0
313997,2010,0,1,0,0,0,0
313998,2010,1,0,0,0,0,0
313999,2010,1,0,0,0,0,0
314000,2010,1,0,0,0,0,0
314001,2010,0,0,0,1,0,0
314002,2010,0,1,0,0,0,0
314003,2010,0,1,0,0,0,0
314004,2010,0,0,0,0,1,0
314005,2010,0,0,0,0,1,0
314006,2010,0,0,0,1,0,0
314007,2010,0,0,0,1,0,0
314008,2010,1,0,0,0,0,0
314009,2010,0,1,0,0,0,0
314010,2010,0,1,0,0,0,0
314011,2010,0,1,0,0,0,0
314012,2010,0,0,0,0,1,0
314013,2010,0,1,0,0,0,0
314014,2010,0,0,0,1,0,0
314015,2010,1,0,0,0,0,0
314016,2010,0,0,0,1,0,0
314017,2010,1,0,0,0,0,0
314018,2010,0,0,0,0,1,0
314019,2010,0,0,1,0,0,0
314020,2010,0,0,0,1,0,0
314021,2010,0,1,0,0,0,0
314022,2010,0,0,0,0,1,0
314023,2010,0,1,0,0,0,0
314024,2010,1,0,0,0,0,0
314025,2010,0,0,0,1,0,0
314026,2010,0,0,1,0,0,0
314027,2010,0,0,0,1,0,0
314028,2010,0,0,1,0,0,0
314029,2010,0,1,0,0,0,0
314030,2010,0,1,0,0,0,0
314031,2010,1,0,0,0,0,0
314032,2010,0,1,0,0,0,0
314033,2010,1,0,0,0,0,0
314034,2010,0,0,0,1,0,0
314035,2010,0,0,0,1,0,0
314036,2010,0,1,0,0,0,0
314037,2010,0,1,0,0,0,0
314038,2010,0,1,0,0,0,0
314039,2010,0,1,0,0,0,0
314040,2010,0,1,0,0,0,0
314041,2010,0,0,0,1,0,0
314042,2010,0,1,0,0,0,0
314043,2010,0,0,0,1,0,0
314044,2010,0,1,0,0,0,0
314045,2010,0,1,0,0,0,0
314046,2010,0,0,0,1,0,0
314047,2010,0,1,0,0,0,0
314048,2010,0,1,0,0,0,0
314049,2010,0,1,0,0,0,0
314050,2010,0,1,0,0,0,0
314051,2010,1,0,0,0,0,0
314052,2010,1,0,0,0,0,0
314053,2010,0,0,1,0,0,0
314054,2010,0,0,0,0,1,0
314055,2010,0,1,0,0,0,0
314056,2010,1,0,0,0,0,0
314057,2010,1,0,0,0,0,0
314058,2010,1,0,0,0,0,0
314059,2010,0,0,0,0,1,0
314060,2010,0,0,0,1,0,0
314061,2010,0,1,0,0,0,0
314062,2010,0,1,0,0,0,0
314063,2010,0,0,1,0,0,0
314064,2010,0,1,0,0,0,0
314065,2010,1,0,0,0,0,0
314066,2010,0,0,0,1,0,0
314067,2010,1,0,0,0,0,0
314068,2010,1,0,0,0,0,0
314069,2010,0,0,0,1,0,0
314070,2010,0,1,0,0,0,0
314071,2010,0,0,0,1,0,0
314072,2010,0,0,1,0,0,0
314073,2010,0,0,0,1,0,0
314074,2010,0,0,0,1,0,0
314075,2010,0,0,1,0,0,0
314076,2010,1,0,0,0,0,0
314077,2010,0,0,1,0,0,0
314078,2010,0,0,1,0,0,0
314079,2010,0,0,1,0,0,0
314080,2010,0,0,0,0,1,0
314081,2010,0,0,1,0,0,0
314082,2010,0,0,0,0,1,0
314083,2010,0,0,0,0,1,0
314084,2010,0,0,1,0,0,0
314085,2010,0,0,0,1,0,0
314086,2010,0,0,0,1,0,0
314087,2010,0,0,1,0,0,0
314088,2010,0,0,0,1,0,0
314089,2010,0,0,0,0,1,0
314090,2010,0,0,1,0,0,0
314091,2010,0,0,0,1,0,0
314092,2010,0,0,1,0,0,0
314093,2010,0,0,1,0,0,0
314094,2010,0,0,1,0,0,0
314095,2010,0,0,0,1,0,0
314096,2010,0,0,0,1,0,0
314097,2010,0,0,0,1,0,0
314098,2010,0,0,0,1,0,0
314099,2010,0,0,0,1,0,0
314100,2010,1,0,0,0,0,0
314101,2010,1,0,0,0,0,0
314102,2010,0,0,0,1,0,0
314103,2010,0,0,0,1,0,0
314104,2010,0,0,0,1,0,0
314105,2010,0,0,0,1,0,0
314106,2010,0,0,1,0,0,0
314107,2010,0,0,0,1,0,0
314108,2010,1,0,0,0,0,0
314109,2010,0,0,0,0,1,0
314110,2010,0,1,0,0,0,0
314111,2010,0,0,0,1,0,0
314112,2010,0,0,0,1,0,0
314113,2010,0,0,0,1,0,0
314114,2010,0,0,0,1,0,0
314115,2010,1,0,0,0,0,0
314116,2010,1,0,0,0,0,0
314117,2010,0,0,0,1,0,0
314118,2010,0,0,1,0,0,0
314119,2010,0,0,0,1,0,0
314120,2010,1,0,0,0,0,0
314121,2010,0,0,0,0,1,0
314122,2010,0,0,1,0,0,0
314123,2010,0,1,0,0,0,0
314124,2010,0,1,0,0,0,0
314125,2010,0,0,1,0,0,0
314126,2010,1,0,0,0,0,0
314127,2010,0,0,0,1,0,0
314128,2010,0,1,0,0,0,0
314129,2010,0,0,0,0,1,0
314130,2010,1,0,0,0,0,0
314131,2010,0,1,0,0,0,0
314132,2010,0,0,1,0,0,0
314133,2010,0,0,1,0,0,0
314134,2010,1,0,0,0,0,0
314135,2010,0,0,1,0,0,0
314136,2010,0,0,1,0,0,0
314137,2010,0,0,0,1,0,0
314138,2010,0,1,0,0,0,0
314139,2010,0,0,0,1,0,0
314140,2010,0,0,0,1,0,0
314141,2010,0,0,0,1,0,0
314142,2010,0,0,0,1,0,0
314143,2010,0,1,0,0,0,0
314144,2010,0,0,1,0,0,0
314145,2010,0,1,0,0,0,0
314146,2010,0,0,1,0,0,0
314147,2010,0,0,0,0,1,0
314148,2010,0,0,1,0,0,0
314149,2010,0,0,0,1,0,0
314150,2010,0,0,1,0,0,0
314151,2010,0,0,1,0,0,0
314152,2010,0,0,1,0,0,0
314153,2010,0,0,1,0,0,0
314154,2010,0,0,0,1,0,0
314155,2010,0,0,0,1,0,0
314156,2010,0,0,1,0,0,0
314157,2010,0,0,1,0,0,0
314158,2010,0,1,0,0,0,0
314159,2010,0,0,1,0,0,0
314160,2010,0,0,1,0,0,0
314161,2010,0,1,0,0,0,0
314162,2010,0,0,0,1,0,0
314163,2010,0,0,1,0,0,0
314164,2010,0,1,0,0,0,0
314165,2010,0,0,0,1,0,0
314166,2010,0,0,0,1,0,0
314167,2010,0,0,0,0,1,0
314168,2010,0,0,1,0,0,0
314169,2010,0,0,0,1,0,0
314170,2010,0,0,1,0,0,0
314171,2010,0,0,1,0,0,0
314172,2010,0,0,1,0,0,0
314173,2010,0,0,1,0,0,0
314174,2010,0,1,0,0,0,0
314175,2010,0,1,0,0,0,0
314176,2010,0,0,1,0,0,0
314177,2010,0,0,1,0,0,0
314178,2010,0,0,1,0,0,0
314179,2010,0,0,1,0,0,0
314180,2010,0,0,1,0,0,0
314181,2010,0,1,0,0,0,0
314182,2010,0,1,0,0,0,0
314183,2010,0,0,1,0,0,0
314184,2010,0,0,1,0,0,0
314185,2010,0,1,0,0,0,0
314186,2010,0,0,1,0,0,0
314187,2010,0,0,1,0,0,0
314188,2010,0,0,1,0,0,0
314189,2010,0,0,1,0,0,0
314190,2010,0,0,1,0,0,0
314191,2010,0,1,0,0,0,0
314192,2010,0,1,0,0,0,0
314193,2010,0,1,0,0,0,0
314194,2010,1,0,0,0,0,0
314195,2010,1,0,0,0,0,0
314196,2010,0,0,1,0,0,0
314197,2010,0,0,1,0,0,0
314198,2010,0,0,1,0,0,0
314199,2010,1,0,0,0,0,0
314200,2010,0,0,1,0,0,0
314201,2010,0,0,1,0,0,0
314202,2010,0,0,1,0,0,0
314203,2010,0,0,0,1,0,0
314204,2010,0,0,1,0,0,0
314205,2010,0,0,1,0,0,0
314206,2010,0,0,1,0,0,0
314207,2010,0,0,1,0,0,0
314208,2010,0,0,1,0,0,0
314209,2010,0,0,1,0,0,0
314210,2010,0,0,1,0,0,0
314211,2010,0,0,0,1,0,0
314212,2010,0,1,0,0,0,0
314213,2010,1,0,0,0,0,0
314214,2010,0,0,1,0,0,0
314215,2010,0,0,0,1,0,0
314216,2010,0,1,0,0,0,0
314217,2010,0,1,0,0,0,0
314218,2010,0,0,1,0,0,0
314219,2010,0,0,0,1,0,0
314220,2010,0,0,1,0,0,0
314221,2010,0,0,0,1,0,0
314222,2010,0,0,0,1,0,0
314223,2010,0,1,0,0,0,0
314224,2010,0,0,0,1,0,0
314225,2010,1,0,0,0,0,0
314226,2010,1,0,0,0,0,0
314227,2010,1,0,0,0,0,0
314228,2010,0,0,1,0,0,0
314229,2010,0,0,0,1,0,0
314230,2010,0,0,0,1,0,0
314231,2010,0,0,0,1,0,0
314232,2010,1,0,0,0,0,0
314233,2010,0,1,0,0,0,0
314234,2010,0,0,0,1,0,0
314235,2010,0,0,0,1,0,0
314236,2010,0,0,0,1,0,0
314237,2010,0,0,0,1,0,0
314238,2010,0,0,0,1,0,0
314239,2010,0,0,0,0,1,0
314240,2010,0,1,0,0,0,0
314241,2010,0,1,0,0,0,0
314242,2010,0,0,1,0,0,0
314243,2010,0,1,0,0,0,0
314244,2010,0,1,0,0,0,0
314245,2010,0,0,1,0,0,0
314246,2010,0,0,0,0,1,0
314247,2010,1,0,0,0,0,0
314248,2010,0,0,0,1,0,0
314249,2010,0,0,1,0,0,0
314250,2010,0,0,1,0,0,0
314251,2010,0,0,1,0,0,0
314252,2010,0,0,1,0,0,0
314253,2010,0,0,0,1,0,0
314254,2010,0,0,0,1,0,0
314255,2010,0,1,0,0,0,0
314256,2010,0,0,0,0,1,0
314257,2010,0,0,1,0,0,0
314258,2010,0,0,0,0,1,0
314259,2010,0,1,0,0,0,0
314260,2010,0,0,1,0,0,0
314261,2010,0,0,0,1,0,0
314262,2010,0,1,0,0,0,0
314263,2010,0,1,0,0,0,0
314264,2010,0,0,1,0,0,0
314265,2010,0,0,0,1,0,0
314266,2010,0,1,0,0,0,0
314267,2010,0,0,0,1,0,0
314268,2010,0,1,0,0,0,0
314269,2010,0,1,0,0,0,0
314270,2010,0,1,0,0,0,0
314271,2010,0,1,0,0,0,0
314272,2010,0,0,0,0,1,0
314273,2010,0,1,0,0,0,0
314274,2010,1,0,0,0,0,0
314275,2010,0,1,0,0,0,0
314276,2010,1,0,0,0,0,0
314277,2010,0,0,0,1,0,0
314278,2010,0,1,0,0,0,0
314279,2010,0,0,1,0,0,0
314280,2010,0,0,1,0,0,0
314281,2010,0,0,1,0,0,0
314282,2010,0,1,0,0,0,0
314283,2010,0,0,1,0,0,0
314284,2010,0,0,1,0,0,0
314285,2010,0,0,1,0,0,0
314286,2010,0,0,0,1,0,0
314287,2010,0,0,1,0,0,0
314288,2010,0,0,1,0,0,0
