,YEAR,MONTH,LATITUDE,LONGITUDE,N_MOUNT_PLEASANT,N_GRANDVIEW-WOODLAND,N_CENTRAL_BUSINESS_DISTRICT,N_WEST_END,N_RENFREW-COLLINGWOOD,N_FAIRVIEW,N_VICTORIA-FRASERVIEW,N_KILLARNEY,N_HASTINGS-SUNRISE,N_KITSILANO,N_KENSINGTON-CEDAR_COTTAGE,N_MARPOLE,N_WEST_POINT_GREY,N_STRATHCONA,N_DUNBAR-SOUTHLANDS,N_SHAUGHNESSY,N_OAKRIDGE,N_RILEY_PARK,N_SOUTH_CAMBIE,N_SUNSET,N_STANLEY_PARK,N_KERRISDALE,N_ARBUTUS_RIDGE,N_MUSQUEAM,G_50M,G_100M,H_ADULT,H_MEN,H_WOMEN_FAM,H_YOUTH,P_AVG5,P_AVG10,S_WATERFRONT,S_BURRARD,S_GRANVILLE,S_STADIUM-CHINATOWN,S_MAIN_ST.-SCIENCE_WORLD,S_BROADWAY,S_NANAIMO,S_29TH_AVENUE,S_JOYCE-COLLINGWOOD,S_RUPERT,S_RENFREW,S_COMMERCIAL_DRIVE,S_VCC-CLARK,S_WATERFRONT,S_VANCOUVER_CITY_CENTRE,S_YALETOWN-ROUNDHOUSE,S_OLYMPIC_VILLAGE,S_BROADWAY-CITY_HALL,S_KING_EDWARD,S_OAKRIDGE-41st._AVE.,S_LANGARA-49th_AVE.,S_MARINE_DRIVE,S_DISTANCE,SL_50M,MEAN_TEMP_C,MIN_TEMP_C,MAX_TEMP_C,TOTAL_PERCIP_MM
148329,2006,7,49.2834833881,-123.114730024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,148,173.096601032,636.110769537,1271.49037212,1045.48016225,2732000.0,2847500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.99599602,10,18.74193548,14.46451613,22.95967742,38.8
148751,2006,1,49.2520420704,-123.095967498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1352.72166039,3175.76715271,3407.28061857,3410.89911944,402400.0,399900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1447.0033696,2,6.466129032,4.498387097,8.385483871,625.0
148998,2006,1,49.2568858097,-123.116404905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,978.178363089,2324.6138519,2165.34455346,2182.19794289,330000.0,313500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,665.363147782,5,6.466129032,4.498387097,8.385483871,625.0
149001,2006,1,49.2212321039,-123.038877422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780.34570263,7737.789238,8766.16006817,8765.80240666,451600.0,440700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.88265584,7,6.466129032,4.498387097,8.385483871,625.0
149014,2006,10,49.2682390317,-123.157918137,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,51,2746.06530377,3303.9604346,2398.53871976,2432.20946088,3389000.0,2573100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2708.86397608,8,10.09516129,7.041935484,13.10645161,169.2
149448,2006,12,49.2813269989,-123.11645685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,285.163362664,411.758041901,1013.3156568,847.717143121,3655400.0,3720300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.643865431,14,4.872580645,2.49516129,7.208064516,294.6
149985,2006,11,49.2490214885,-123.039047812,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3091.80989319,5257.11939645,7010.61187738,6998.15502498,357800.0,367200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.989205958,6,5.803333333,3.388333333,8.185,832.0
151091,2006,4,49.2263415474,-123.08516015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4277.69967777,6115.50326325,6214.08925352,6225.31686089,380000.0,380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2270.0314053,3,9.647457627,5.991666667,13.26440678,148.2
151488,2006,3,49.2237615549,-123.077449908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4763.00270113,6537.39785563,6747.10210132,6756.42377777,334800.0,335200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2846.72372418,8,6.842372881,3.206779661,10.40327869,242.8
151518,2006,4,49.2257328695,-123.152280827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5291.32507174,6394.29786444,5803.2558993,5837.60397638,786400.0,792800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2620.04498641,4,9.647457627,5.991666667,13.26440678,148.2
