FACILITY,CATEGORY,PHONE,MEALS,PETS,CARTS,LAT,LONG
Belkin House,Adults (all genders),604-681-3405,no,no,no,49.2824583823588,-123.112939685345
First Baptist Church,Adults (all genders),604-683-8441,yes,no,no,49.2816379423176,-123.126146126461
Dusk to Dawn-Directions Youth Centre,Youth (all genders),604-633-1472,yes,no,no,49.2795671693397,-123.127792927078
Covenant House,Youth (all genders),604-685-7474,yes,no,no,49.2753991618304,-123.12633823542
Welcome House for Immigrants,Women/Families,604-684-7498,no,no,no,49.2751532135398,-123.126698648226
Grandview Calvary Baptist Church,Adults (all genders),604-255-1411,yes,no,no,49.2697474520736,-123.067356357987
Tenth Avenue Church,Adults (all genders),604-876-2181,yes,no,no,49.2623383061239,-123.105860462078
Triage,Adults (all genders),604-254-3700,no,no,no,49.2832570142586,-123.089140653353
Lookout Downtown,Adults (all genders),604-681-9126,no,yes,no,49.2837440886413,-123.096207657871
Catholic Charities Men's Hostel,Men,604-443-3292,no,no,no,49.2777650064068,-123.114913417258
First Baptist Church,Adults (all genders),604-683-8441,yes,no,no,49.2817829665326,-123.126364795368
New Fountain,Adults (all genders),604-331-1246,yes,yes,yes,49.2829089394758,-123.105208959767
The Haven,Men,604-646-6800,no,no,no,49.2821349512488,-123.101429426307
Anchor of Hope,Adults (all genders),604-646-6899,yes,no,no,49.2821327941377,-123.101324923635
Anchor of Hope,Adults (all genders),604-646-6899,yes,no,no,49.2821315364482,-123.101220422812
Anchor of Hope,Adults (all genders),604-646-6899,yes,no,no,49.2820439257224,-123.101115057949
The Beacon,Men,604-646-6846,no,no,no,49.2820397545483,-123.100913161934
Union Gospel Mission,Men,604-253-3323,yes,no,no,49.2818717041335,-123.090986046798
Crosswalk,Adults (all genders),604-669-4349,no,no,no,49.2818050804002,-123.107672478832
First United Church,Adults (all genders),604-681-8365,yes,yes,yes,49.2809665379675,-123.097065334772
Vineyard Church,Adults (all genders),604-255-4463,yes,no,no,49.2693356609832,-123.070551901448
Yukon Shelter,Adults (all genders),604-264-1680,no,yes,no,49.2668908859729,-123.11236726194
Aboriginal Shelter,Adults (all genders),604-347-0299,yes,yes,yes,49.2715743534663,-123.099346861579
