STREET_NAME,STREET_NUMBER,YEAR,VALUE
10TH AVE E,5.0,2015.0,1020000.0
10TH AVE E,20.0,2015.0,968000.0
10TH AVE E,24.0,2015.0,968000.0
10TH AVE E,30.0,2015.0,4465000.0
10TH AVE E,55.0,2015.0,281607.142857
10TH AVE E,80.0,2015.0,848000.0
10TH AVE E,108.0,2015.0,537000.0
10TH AVE E,111.0,2015.0,7795000.0
10TH AVE E,118.0,2015.0,504000.0
10TH AVE E,128.0,2015.0,518000.0
10TH AVE E,154.0,2015.0,5919000.0
10TH AVE E,205.0,2015.0,273761.904762
10TH AVE E,221.0,2015.0,25143000.0
10TH AVE E,238.0,2015.0,230269.230769
10TH AVE E,268.0,2015.0,5312000.0
10TH AVE E,278.0,2015.0,2200000.0
10TH AVE E,340.0,2015.0,1857500.0
10TH AVE E,350.0,2015.0,1745000.0
10TH AVE E,354.0,2015.0,2617000.0
10TH AVE E,380.0,2015.0,7478000.0
10TH AVE E,404.0,2015.0,571000.0
10TH AVE E,414.0,2015.0,4513000.0
10TH AVE E,423.0,2015.0,113221.153846
10TH AVE E,430.0,2015.0,990000.0
10TH AVE E,438.0,2015.0,990000.0
10TH AVE E,440.0,2015.0,941000.0
10TH AVE E,446.0,2015.0,941000.0
10TH AVE E,450.0,2015.0,990000.0
10TH AVE E,453.0,2015.0,1165000.0
10TH AVE E,456.0,2015.0,990000.0
10TH AVE E,458.0,2015.0,990000.0
10TH AVE E,460.0,2015.0,990000.0
10TH AVE E,461.0,2015.0,1165000.0
10TH AVE E,466.0,2015.0,990000.0
10TH AVE E,469.0,2015.0,1165000.0
10TH AVE E,470.0,2015.0,975000.0
10TH AVE E,476.0,2015.0,781000.0
10TH AVE E,477.0,2015.0,1165000.0
10TH AVE E,483.0,2015.0,1165000.0
10TH AVE E,484.0,2015.0,822000.0
10TH AVE E,491.0,2015.0,1165000.0
10TH AVE E,497.0,2015.0,1202000.0
10TH AVE E,501.0,2015.0,1195000.0
10TH AVE E,510.0,2015.0,1027000.0
10TH AVE E,515.0,2015.0,1195000.0
10TH AVE E,516.0,2015.0,1027000.0
10TH AVE E,522.0,2015.0,975000.0
10TH AVE E,523.0,2015.0,926000.0
10TH AVE E,526.0,2015.0,567000.0
10TH AVE E,528.0,2015.0,567000.0
10TH AVE E,529.0,2015.0,926000.0
10TH AVE E,530.0,2015.0,1027000.0
10TH AVE E,537.0,2015.0,926000.0
10TH AVE E,542.0,2015.0,975000.0
10TH AVE E,543.0,2015.0,926000.0
10TH AVE E,546.0,2015.0,975000.0
10TH AVE E,549.0,2015.0,926000.0
10TH AVE E,554.0,2015.0,975000.0
10TH AVE E,557.0,2015.0,1195000.0
10TH AVE E,564.0,2015.0,525000.0
10TH AVE E,569.0,2015.0,1195000.0
10TH AVE E,570.0,2015.0,1027000.0
10TH AVE E,578.0,2015.0,1258000.0
10TH AVE E,610.0,2015.0,975000.0
10TH AVE E,611.0,2015.0,1274000.0
10TH AVE E,616.0,2015.0,975000.0
10TH AVE E,623.0,2015.0,926000.0
10TH AVE E,624.0,2015.0,975000.0
10TH AVE E,627.0,2015.0,926000.0
10TH AVE E,630.0,2015.0,975000.0
10TH AVE E,635.0,2015.0,578000.0
10TH AVE E,636.0,2015.0,975000.0
10TH AVE E,637.0,2015.0,556000.0
10TH AVE E,642.0,2015.0,975000.0
10TH AVE E,643.0,2015.0,926000.0
10TH AVE E,649.0,2015.0,926000.0
10TH AVE E,650.0,2015.0,975000.0
10TH AVE E,656.0,2015.0,975000.0
10TH AVE E,657.0,2015.0,926000.0
10TH AVE E,660.0,2015.0,975000.0
10TH AVE E,710.0,2015.0,1585000.0
10TH AVE E,711.0,2015.0,560000.0
10TH AVE E,712.0,2015.0,885000.0
10TH AVE E,715.0,2015.0,517000.0
10TH AVE E,718.0,2015.0,885000.0
10TH AVE E,723.0,2015.0,840000.0
10TH AVE E,724.0,2015.0,460000.0
10TH AVE E,726.0,2015.0,748000.0
10TH AVE E,729.0,2015.0,840000.0
10TH AVE E,730.0,2015.0,909000.0
10TH AVE E,735.0,2015.0,840000.0
10TH AVE E,740.0,2015.0,885000.0
10TH AVE E,741.0,2015.0,840000.0
10TH AVE E,746.0,2015.0,885000.0
10TH AVE E,749.0,2015.0,840000.0
10TH AVE E,754.0,2015.0,885000.0
10TH AVE E,757.0,2015.0,840000.0
10TH AVE E,759.0,2015.0,840000.0
10TH AVE E,762.0,2015.0,885000.0
10TH AVE E,774.0,2015.0,885000.0
10TH AVE E,782.0,2015.0,885000.0
10TH AVE E,804.0,2015.0,885000.0
10TH AVE E,807.0,2015.0,840000.0
10TH AVE E,810.0,2015.0,885000.0
10TH AVE E,815.0,2015.0,840000.0
10TH AVE E,816.0,2015.0,885000.0
10TH AVE E,822.0,2015.0,590000.0
10TH AVE E,823.0,2015.0,840000.0
10TH AVE E,825.0,2015.0,539000.0
10TH AVE E,827.0,2015.0,539000.0
10TH AVE E,828.0,2015.0,544000.0
10TH AVE E,830.0,2015.0,556000.0
10TH AVE E,832.0,2015.0,578000.0
10TH AVE E,834.0,2015.0,567000.0
10TH AVE E,836.0,2015.0,567000.0
10TH AVE E,837.0,2015.0,840000.0
10TH AVE E,842.0,2015.0,885000.0
10TH AVE E,843.0,2015.0,840000.0
10TH AVE E,847.0,2015.0,840000.0
10TH AVE E,850.0,2015.0,578000.0
10TH AVE E,852.0,2015.0,556000.0
10TH AVE E,856.0,2015.0,885000.0
10TH AVE E,863.0,2015.0,840000.0
10TH AVE E,864.0,2015.0,885000.0
10TH AVE E,865.0,2015.0,539000.0
10TH AVE E,867.0,2015.0,539000.0
10TH AVE E,870.0,2015.0,885000.0
10TH AVE E,875.0,2015.0,840000.0
10TH AVE E,880.0,2015.0,885000.0
10TH AVE E,885.0,2015.0,840000.0
10TH AVE E,902.0,2015.0,567000.0
10TH AVE E,906.0,2015.0,556000.0
10TH AVE E,908.0,2015.0,578000.0
10TH AVE E,912.0,2015.0,885000.0
10TH AVE E,917.0,2015.0,885000.0
10TH AVE E,920.0,2015.0,885000.0
10TH AVE E,921.0,2015.0,885000.0
10TH AVE E,930.0,2015.0,885000.0
10TH AVE E,935.0,2015.0,885000.0
10TH AVE E,937.0,2015.0,885000.0
10TH AVE E,938.0,2015.0,885000.0
10TH AVE E,943.0,2015.0,885000.0
10TH AVE E,950.0,2015.0,885000.0
10TH AVE E,955.0,2015.0,885000.0
10TH AVE E,958.0,2015.0,885000.0
10TH AVE E,965.0,2015.0,885000.0
10TH AVE E,966.0,2015.0,885000.0
10TH AVE E,972.0,2015.0,578000.0
10TH AVE E,976.0,2015.0,556000.0
10TH AVE E,986.0,2015.0,885000.0
10TH AVE E,1003.0,2015.0,885000.0
10TH AVE E,1004.0,2015.0,590000.0
10TH AVE E,1009.0,2015.0,593000.0
10TH AVE E,1011.0,2015.0,548000.0
10TH AVE E,1014.0,2015.0,567000.0
10TH AVE E,1016.0,2015.0,567000.0
10TH AVE E,1017.0,2015.0,885000.0
10TH AVE E,1018.0,2015.0,567000.0
10TH AVE E,1020.0,2015.0,567000.0
10TH AVE E,1024.0,2015.0,885000.0
10TH AVE E,1025.0,2015.0,601000.0
10TH AVE E,1027.0,2015.0,533000.0
10TH AVE E,1030.0,2015.0,885000.0
10TH AVE E,1033.0,2015.0,567000.0
10TH AVE E,1035.0,2015.0,567000.0
10TH AVE E,1036.0,2015.0,885000.0
10TH AVE E,1038.0,2015.0,885000.0
10TH AVE E,1039.0,2015.0,567000.0
10TH AVE E,1045.0,2015.0,567000.0
