Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2008-01-01,2008,01,01,†,6.8,,2.7,,4.8,,13.2,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-02,2008,01,02,†,7.8,,4.3,,6.1,,11.9,,0.0,,,M,,M,14.4,,,,,M,,M
2008-01-03,2008,01,03,†,9.8,,5.6,,7.7,,10.3,,0.0,,,M,,M,1.6,,,,,M,,M
2008-01-04,2008,01,04,†,10.6,,6.7,,8.7,,9.3,,0.0,,,M,,M,5.6,,,,,M,,M
2008-01-05,2008,01,05,†,10.3,,4.9,,7.6,,10.4,,0.0,,,M,,M,2.4,,,,,M,,M
2008-01-06,2008,01,06,†,5.1,,2.1,,3.6,,14.4,,0.0,,,M,,M,8.4,,,,,M,,M
2008-01-07,2008,01,07,†,4.6,,1.6,,3.1,,14.9,,0.0,,,M,,M,4.2,,,,,M,,M
2008-01-08,2008,01,08,†,5.0,,1.6,,3.3,,14.7,,0.0,,,M,,M,10.8,,,,,M,,M
2008-01-09,2008,01,09,†,5.4,,3.2,,4.3,,13.7,,0.0,,,M,,M,5.2,,,,,M,,M
2008-01-10,2008,01,10,†,6.2,,2.5,,4.4,,13.6,,0.0,,,M,,M,39.2,,,,,M,,M
2008-01-11,2008,01,11,†,7.9,,4.8,,6.4,,11.6,,0.0,,,M,,M,9.4,,,,,M,,M
2008-01-12,2008,01,12,†,8.0,,6.0,,7.0,,11.0,,0.0,,,M,,M,7.2,,,,,M,,M
2008-01-13,2008,01,13,†,8.5,,5.1,,6.8,,11.2,,0.0,,,M,,M,1.2,,,,,M,,M
2008-01-14,2008,01,14,†,7.6,,3.0,,5.3,,12.7,,0.0,,,M,,M,19.0,,,,,M,,M
2008-01-15,2008,01,15,†,4.3,,0.4,,2.4,,15.6,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-16,2008,01,16,†,2.5,,0.2,,1.4,,16.6,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-17,2008,01,17,†,3.1,,1.4,,2.3,,15.7,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-18,2008,01,18,†,3.8,,2.3,,3.1,,14.9,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-19,2008,01,19,†,4.5,,2.2,,3.4,,14.6,,0.0,,,M,,M,11.4,,,,,M,,M
2008-01-20,2008,01,20,†,7.0,,1.1,,4.1,,13.9,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-21,2008,01,21,†,5.2,,-1.4,,1.9,,16.1,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-22,2008,01,22,†,3.6,,-1.8,,0.9,,17.1,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-23,2008,01,23,†,4.8,,-1.6,,1.6,,16.4,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-24,2008,01,24,†,5.1,,-0.9,,2.1,,15.9,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-25,2008,01,25,†,4.8,,-0.6,,2.1,,15.9,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-26,2008,01,26,†,4.8,,1.0,,2.9,,15.1,,0.0,,,M,,M,6.6,,,,,M,,M
2008-01-27,2008,01,27,†,3.1,,0.6,,1.9,,16.1,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-28,2008,01,28,†,1.2,,-2.5,,-0.7,,18.7,,0.0,,,M,,M,0.0,,,,,M,,M
2008-01-29,2008,01,29,†,2.7,,-0.3,,1.2,,16.8,,0.0,,,M,,M,9.4,,,,,M,,M
2008-01-30,2008,01,30,†,4.1,,0.5,,2.3,,15.7,,0.0,,,M,,M,14.0,,,,,M,,M
2008-01-31,2008,01,31,†,6.4,,3.0,,4.7,,13.3,,0.0,,,M,,M,4.6,,,,,M,,M
2008-02-01,2008,02,01,†,5.7,,2.1,,3.9,,14.1,,0.0,,,M,,M,0.8,,,,,M,,M
2008-02-02,2008,02,02,†,6.6,,1.4,,4.0,,14.0,,0.0,,,M,,M,1.6,,,,,M,,M
2008-02-03,2008,02,03,†,5.5,,0.6,,3.1,,14.9,,0.0,,,M,,M,0.0,,,,,M,,M
2008-02-04,2008,02,04,†,3.6,,-0.7,,1.5,,16.5,,0.0,,,M,,M,1.2,,,,,M,,M
2008-02-05,2008,02,05,†,8.5,,1.9,,5.2,,12.8,,0.0,,,M,,M,19.8,,,,,M,,M
