Year,Month,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm)
2006,1,6.46612903226,4.49838709677,8.38548387097,625.0
2006,2,4.60392156863,1.30188679245,7.94038461538,113.6
2006,3,6.84237288136,3.20677966102,10.4032786885,242.8
2006,4,9.64745762712,5.99166666667,13.2644067797,148.2
2006,5,13.0806451613,8.95806451613,17.1548387097,89.8
2006,6,16.6366666667,12.5916666667,20.63,131.2
2006,7,18.7419354839,14.464516129,22.9596774194,38.8
2006,8,17.5403225806,13.3177419355,21.714516129,11.0
2006,9,15.3566666667,11.2783333333,19.39,96.4
2006,10,10.0951612903,7.04193548387,13.1064516129,169.2
2006,11,5.80333333333,3.38833333333,8.185,832.0
2006,12,4.87258064516,2.49516129032,7.20806451613,294.6
2007,1,3.28709677419,0.858064516129,5.67741935484,505.4
2007,2,5.571875,2.878125,8.209375,252.4
2007,3,7.34032258065,4.7064516129,9.93225806452,546.6
2007,4,9.00338983051,5.66666666667,12.3084745763,170.8
2007,5,12.7709677419,8.7064516129,16.7774193548,108.2
2007,6,15.3645833333,10.9725490196,19.2,130.2
2007,7,19.0887096774,14.9725806452,23.1548387097,126.2
2007,8,17.9885245902,13.8262295082,22.093442623,24.4
2007,9,14.45,10.965,17.8883333333,147.2
2007,10,10.037254902,7.39615384615,12.6039215686,188.4
2007,11,5.78979591837,2.97142857143,8.55510204082,200.9
2007,12,3.71967213115,1.47903225806,5.98032786885,458.2
2008,1,3.29032258065,0.959677419355,5.58064516129,312.2
2008,2,5.78103448276,2.81724137931,8.68275862069,163.6
2008,3,6.17258064516,3.16290322581,9.12741935484,182.2
2008,4,7.77166666667,4.26166666667,11.2466666667,154.6
2008,5,13.0387096774,9.25806451613,16.7564516129,80.2
2008,6,14.5283333333,11.005,18.0033333333,103.6
2008,7,18.0822580645,13.7967741935,22.3096774194,42.6
2008,8,17.7870967742,13.8677419355,21.6483870968,185.0
2008,9,14.7966666667,11.1416666667,18.4133333333,56.8
2008,10,10.3161290323,7.21774193548,13.3677419355,223.8
2008,11,8.39666666667,6.095,10.6483333333,399.0
2008,12,1.69032258065,-0.474193548387,3.83709677419,389.6
2009,1,2.47419354839,0.65,4.25967741935,332.2
2009,2,4.65714285714,1.22142857143,8.03928571429,127.4
2009,3,5.10322580645,1.81935483871,8.3435483871,259.0
2009,4,9.385,5.495,13.23,153.6
2009,5,12.9693548387,8.59516129032,17.3,140.0
2009,6,17.5483333333,13.2716666667,21.7666666667,26.4
2009,7,19.7629032258,15.0870967742,24.3951612903,39.2
2009,8,18.3822580645,14.3935483871,22.3258064516,68.0
2009,9,15.88,11.9066666667,19.81,179.2
2009,10,10.3951612903,7.18709677419,13.5564516129,374.2
2009,11,7.36949152542,4.91833333333,9.76101694915,614.0
2009,12,3.03448275862,0.406666666667,5.53620689655,244.1
2010,1,7.52258064516,5.16935483871,9.83548387097,545.1
2010,2,7.59285714286,4.70535714286,10.425,280.5
2010,3,8.06333333333,4.75483870968,11.3433333333,295.6
2010,4,9.765,6.195,13.2933333333,250.4
2010,5,12.3456140351,8.51186440678,16.0694915254,174.2
2010,6,15.1431818182,11.7551020408,18.55,122.2
2010,7,18.3105263158,13.9606557377,22.7551724138,4.3
2010,8,18.5080645161,14.2612903226,22.7048387097,164.5
2010,9,15.4616666667,12.3133333333,18.5533333333,428.2
2010,10,11.6213114754,8.73225806452,14.4147540984,221.3
2010,11,5.53833333333,3.13,7.90666666667,374.7
2010,12,5.41612903226,3.02903225806,7.74838709677,404.5
2011,1,4.50483870968,2.09838709677,6.86451612903,441.9
2011,2,3.725,1.14642857143,6.25357142857,244.2
2011,3,6.77916666667,3.81020408163,9.7375,254.9
2011,4,7.33,4.11666666667,10.5,95.6
2011,5,11.1935483871,7.61612903226,14.7096774194,93.8
2011,6,15.2633333333,11.7366666667,18.74,41.0
2011,7,17.2225806452,13.235483871,21.1612903226,37.6
2011,8,18.3698113208,14.1509433962,22.5377358491,44.8
2011,9,16.4237288136,12.4066666667,20.3237288136,80.4
2011,10,10.2693548387,7.47580645161,13.0096774194,132.3
2011,11,5.605,2.81,8.35833333333,333.6
2011,12,4.32903225806,1.87096774194,6.73709677419,199.3
2012,1,3.93870967742,1.56451612903,6.27419354839,334.2
2012,2,5.30172413793,2.79482758621,7.76551724138,296.0
2012,3,5.78225806452,2.95967741935,8.55806451613,286.7
2012,4,9.82666666667,6.39,13.215,223.8
2012,5,12.3225806452,8.49516129032,16.1080645161,133.1
2012,6,14.3716666667,11.07,17.615,204.5
2012,7,17.9161290323,14.0951612903,21.6838709677,74.4
2012,8,19.0887096774,14.6838709677,23.4403225806,11.7
2012,9,15.4766666667,11.23,19.6716666667,14.8
2012,10,10.6048387097,7.88387096774,13.2741935484,477.3
2012,11,7.53,5.20166666667,9.80666666667,429.9
2012,12,4.78965517241,3.08813559322,6.41896551724,440.6
2013,1,3.22666666667,1.01666666667,5.385,240.9
2013,2,5.55,3.40714285714,7.65,216.4
2013,3,7.41935483871,4.25,10.5322580645,294.9
2013,4,9.70666666667,6.43,12.9166666667,254.6
2013,5,13.5919354839,9.86774193548,17.2580645161,154.0
2013,6,15.9175,12.4952380952,19.4675,60.5
2013,7,19.4931034483,15.2096774194,23.8448275862,0.2
2013,8,19.5419354839,15.6516129032,23.3903225806,73.4
2013,9,16.2,13.1733333333,19.16,158.0
2013,10,10.1193548387,7.44516129032,12.7548387097,47.2
2013,11,7.16333333333,4.74666666667,9.52333333333,153.6
2013,12,3.85483870968,2.01935483871,5.65161290323,84.6
2014,1,5.36129032258,3.28387096774,7.40322580645,123.4
2014,2,3.712,1.2037037037,6.216,74.5
2014,3,7.40666666667,4.78709677419,9.95,208.7
2014,4,10.6033333333,6.93666666667,14.22,123.5
2014,5,15.0709677419,11.2903225806,18.8096774194,100.0
2014,6,16.45,12.7233333333,20.1233333333,36.5
2014,7,19.7451612903,15.1709677419,24.2612903226,28.7
2014,8,20.264516129,15.9322580645,24.5483870968,16.8
2014,9,16.5633333333,12.8166666667,20.2633333333,100.7
2014,10,13.4483870968,11.1612903226,15.6709677419,194.6
2014,11,7.21333333333,4.42,9.97333333333,263.2
2014,12,6.22580645161,4.00322580645,8.3935483871,219.5
2015,1,6.90967741935,4.87096774194,8.9,215.0
2015,2,8.52857142857,6.28571428571,10.7285714286,130.0
2015,3,9.40322580645,6.27419354839,12.4741935484,201.6
2015,4,10.2931034483,6.54,13.9689655172,76.9
2015,5,15.8225806452,11.7967741935,19.8096774194,2.0
2015,6,19.0166666667,14.3566666667,23.6233333333,7.4
2015,7,20.2935483871,15.5838709677,24.9677419355,33.4
2015,8,19.1870967742,14.7483870968,23.5903225806,75.6
2015,9,14.6333333333,11.3133333333,17.8966666667,62.7
2015,10,12.7709677419,10.2161290323,15.2806451613,114.4
2015,11,6.51333333333,3.84333333333,9.13333333333,254.0
2015,12,6.4724137931,4.36129032258,8.46551724138,272.3
