"""Date/Time""","""Year""","""Month""","""Day""","""Data Quality""","""Max Temp (°C)""","""Max Temp Flag""","""Min Temp (°C)""","""Min Temp Flag""","""Mean Temp (°C)""","""Mean Temp Flag""","""Heat Deg Days (°C)""","""Heat Deg Days Flag""","""Cool Deg Days (°C)""","""Cool Deg Days Flag""","""Total Rain (mm)""","""Total Rain Flag""","""Total Snow (cm)""","""Total Snow Flag""","""Total Precip (mm)""","""Total Precip Flag""","""Snow on Grnd (cm)""","""Snow on Grnd Flag""","""Dir of Max Gust (10s deg)""","""Dir of Max Gust Flag""","""Spd of Max Gust (km/h)""","""Spd of Max Gust Flag"""
"""2014-01-01""","""2014""","""01""","""01""","""†""","""6.5""","""""","""3.2""","""""","""4.9""","""""","""13.1""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.2""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-01-02""","""2014""","""01""","""02""","""†""","""7.7""","""""","""5.3""","""""","""6.5""","""""","""11.5""","""""","""0.0""","""""","""""","""M""","""""","""M""","""11.6""","""""","""""","""""","""28""","""""","""59""",""""""
"""2014-01-03""","""2014""","""01""","""03""","""†""","""7.5""","""""","""1.1""","""""","""4.3""","""""","""13.7""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.4""","""""","""""","""""","""29""","""""","""61""",""""""
"""2014-01-04""","""2014""","""01""","""04""","""†""","""5.7""","""""","""-2.0""","""""","""1.9""","""""","""16.1""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-01-05""","""2014""","""01""","""05""","""†""","""5.4""","""""","""-3.2""","""""","""1.1""","""""","""16.9""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-01-06""","""2014""","""01""","""06""","""†""","""4.0""","""""","""-3.5""","""""","""0.3""","""""","""17.7""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-01-07""","""2014""","""01""","""07""","""†""","""6.7""","""""","""1.7""","""""","""4.2""","""""","""13.8""","""""","""0.0""","""""","""""","""M""","""""","""M""","""10.5""","""""","""""","""""","""""","""""","""<31""",""""""
"""2014-01-08""","""2014""","""01""","""08""","""†""","""7.9""","""""","""6.1""","""""","""7.0""","""""","""11.0""","""""","""0.0""","""""","""""","""M""","""""","""M""","""""","""M""","""""","""""","""""","""""","""<31""",""""""
"""2014-01-09""","""2014""","""01""","""09""","""†""","""""","""M""","""4.0""","""E""","""""","""M""","""""","""M""","""""","""M""","""""","""M""","""""","""M""","""""","""M""","""""","""""","""""","""""","""<31""",""""""
"""2014-01-10""","""2014""","""01""","""10""","""†""","""8.3""","""""","""3.2""","""""","""5.8""","""""","""12.2""","""""","""0.0""","""""","""""","""M""","""""","""M""","""17.9""","""""","""""","""""","""7""","""""","""39""",""""""
