YEAR,MONTH,MEAN_TEMP_C,MIN_TEMP_C,MAX_TEMP_C,TOTAL_PERCIP_MM
2006,1,6.466129032,4.498387097,8.385483871,625
2006,2,4.603921569,1.301886792,7.940384615,113.6
2006,3,6.842372881,3.206779661,10.40327869,242.8
2006,4,9.647457627,5.991666667,13.26440678,148.2
2006,5,13.08064516,8.958064516,17.15483871,89.8
2006,6,16.63666667,12.59166667,20.63,131.2
2006,7,18.74193548,14.46451613,22.95967742,38.8
2006,8,17.54032258,13.31774194,21.71451613,11
2006,9,15.35666667,11.27833333,19.39,96.4
2006,10,10.09516129,7.041935484,13.10645161,169.2
2006,11,5.803333333,3.388333333,8.185,832
2006,12,4.872580645,2.49516129,7.208064516,294.6
2007,1,3.287096774,0.858064516,5.677419355,505.4
2007,2,5.571875,2.878125,8.209375,252.4
2007,3,7.340322581,4.706451613,9.932258065,546.6
2007,4,9.003389831,5.666666667,12.30847458,170.8
2007,5,12.77096774,8.706451613,16.77741935,108.2
2007,6,15.36458333,10.97254902,19.2,130.2
2007,7,19.08870968,14.97258065,23.15483871,126.2
2007,8,17.98852459,13.82622951,22.09344262,24.4
2007,9,14.45,10.965,17.88833333,147.2
2007,10,10.0372549,7.396153846,12.60392157,188.4
2007,11,5.789795918,2.971428571,8.555102041,200.9
2007,12,3.719672131,1.479032258,5.980327869,458.2
2008,1,3.290322581,0.959677419,5.580645161,312.2
2008,2,5.781034483,2.817241379,8.682758621,163.6
2008,3,6.172580645,3.162903226,9.127419355,182.2
2008,4,7.771666667,4.261666667,11.24666667,154.6
2008,5,13.03870968,9.258064516,16.75645161,80.2
2008,6,14.52833333,11.005,18.00333333,103.6
2008,7,18.08225806,13.79677419,22.30967742,42.6
2008,8,17.78709677,13.86774194,21.6483871,185
2008,9,14.79666667,11.14166667,18.41333333,56.8
2008,10,10.31612903,7.217741935,13.36774194,223.8
2008,11,8.396666667,6.095,10.64833333,399
2008,12,1.690322581,-0.474193548,3.837096774,389.6
2009,1,2.474193548,0.65,4.259677419,332.2
2009,2,4.657142857,1.221428571,8.039285714,127.4
2009,3,5.103225806,1.819354839,8.343548387,259
2009,4,9.385,5.495,13.23,153.6
2009,5,12.96935484,8.59516129,17.3,140
2009,6,17.54833333,13.27166667,21.76666667,26.4
2009,7,19.76290323,15.08709677,24.39516129,39.2
2009,8,18.38225806,14.39354839,22.32580645,68
2009,9,15.88,11.90666667,19.81,179.2
2009,10,10.39516129,7.187096774,13.55645161,374.2
2009,11,7.369491525,4.918333333,9.761016949,614
2009,12,3.034482759,0.406666667,5.536206897,244.1
2010,1,7.522580645,5.169354839,9.835483871,545.1
2010,2,7.592857143,4.705357143,10.425,280.5
2010,3,8.063333333,4.75483871,11.34333333,295.6
2010,4,9.765,6.195,13.29333333,250.4
2010,5,12.34561404,8.511864407,16.06949153,174.2
2010,6,15.14318182,11.75510204,18.55,122.2
2010,7,18.31052632,13.96065574,22.75517241,4.3
2010,8,18.50806452,14.26129032,22.70483871,164.5
2010,9,15.46166667,12.31333333,18.55333333,428.2
2010,10,11.62131148,8.732258065,14.4147541,221.3
2010,11,5.538333333,3.13,7.906666667,374.7
2010,12,5.416129032,3.029032258,7.748387097,404.5
2011,1,4.50483871,2.098387097,6.864516129,441.9
